,training
0,9
1,7
2,5
3,0
4,3
5,6
6,7
7,3
8,3
9,2
10,0
11,7
12,2
13,0
14,1
15,3
16,9
17,9
18,0
19,5
20,5
21,1
22,7
23,5
24,2
25,2
26,2
27,0
28,9
29,8
30,8
31,7
32,0
33,8
34,4
35,2
36,6
37,5
38,9
39,8
40,8
41,1
42,2
43,3
44,2
45,3
46,4
47,1
48,2
49,7
50,7
51,7
52,9
53,3
54,0
55,5
56,4
57,2
58,5
59,0
60,7
61,3
62,0
63,6
64,1
65,3
66,2
67,9
68,8
69,1
70,1
71,2
72,0
73,9
74,5
75,8
76,2
77,3
78,0
79,2
80,7
81,4
82,0
83,8
84,6
85,0
86,0
87,8
88,2
89,1
90,3
91,7
92,3
93,2
94,6
95,7
96,9
97,5
98,9
99,9
100,8
101,8
102,6
103,1
104,5
105,1
106,9
107,5
108,4
109,7
110,0
111,2
112,3
113,4
114,9
115,3
116,4
117,0
118,5
119,4
120,7
121,8
122,0
123,8
124,0
125,1
126,3
127,0
128,4
129,4
130,8
131,9
132,5
133,0
134,6
135,0
136,9
137,3
138,1
139,8
140,9
141,3
142,1
143,0
144,5
145,2
146,4
147,8
148,3
149,8
150,1
151,9
152,9
153,0
154,9
155,0
156,7
157,8
158,6
159,2
160,1
161,9
162,5
163,5
164,0
165,8
166,5
167,5
168,4
169,3
170,0
171,5
172,2
173,8
174,0
175,4
176,8
177,9
178,2
179,6
180,1
181,4
182,6
183,5
184,6
185,3
186,6
187,2
188,0
189,5
190,9
191,5
192,4
193,3
194,0
195,0
196,0
197,4
198,9
199,8
200,1
201,7
202,5
203,9
204,6
205,3
206,3
207,0
208,5
209,3
210,4
211,4
212,7
213,8
214,5
215,7
216,8
217,8
218,5
219,4
220,3
221,4
222,7
223,0
224,2
225,6
226,5
227,9
228,8
229,4
230,5
231,0
232,6
233,8
234,3
235,6
236,6
237,7
238,6
239,4
240,7
241,4
242,4
243,0
244,8
245,6
246,2
247,5
248,5
249,2
250,5
251,2
252,5
253,8
254,5
255,6
256,0
257,0
258,0
259,0
260,8
261,0
262,5
263,7
264,6
265,1
266,2
267,3
268,2
269,1
270,7
271,2
272,2
273,7
274,8
275,8
276,1
277,1
278,9
279,3
280,6
281,4
282,4
283,5
284,7
285,4
286,5
287,6
288,6
289,1
290,7
291,6
292,2
293,8
294,0
295,3
296,8
297,7
298,9
299,4
300,0
301,8
302,2
303,9
304,3
305,6
306,2
307,1
308,2
309,9
310,2
311,9
312,2
313,6
314,0
315,0
316,5
317,4
318,9
319,8
320,4
321,5
322,4
323,4
324,2
325,9
326,7
327,0
328,2
329,7
330,0
331,2
332,4
333,3
334,1
335,9
336,1
337,6
338,7
339,6
340,7
341,6
342,2
343,9
344,0
345,2
346,1
347,9
348,7
349,9
350,6
351,8
352,0
353,2
354,7
355,1
356,1
357,9
358,4
359,0
360,3
361,5
362,6
363,8
364,6
365,3
366,0
367,0
368,1
369,8
370,4
371,5
372,4
373,9
374,7
375,4
376,0
377,4
378,3
379,9
380,2
381,8
382,5
383,2
384,3
385,6
386,8
387,2
388,9
389,3
390,3
391,6
392,5
393,1
394,1
395,4
396,5
397,0
398,6
399,7
400,8
401,1
402,2
403,4
404,2
405,9
406,4
407,5
408,4
409,0
410,4
411,8
412,6
413,2
414,7
415,3
416,3
417,0
418,8
419,8
420,3
421,3
422,1
423,3
424,8
425,8
426,7
427,8
428,8
429,8
430,1
431,6
432,2
433,4
434,1
435,2
436,9
437,9
438,5
439,7
440,8
441,5
442,0
443,6
444,3
445,1
446,2
447,3
448,6
449,6
450,9
451,1
452,6
453,6
454,4
455,9
456,4
457,6
458,7
459,0
460,7
461,6
462,6
463,6
464,5
465,4
466,8
467,2
468,9
469,2
470,1
471,4
472,2
473,2
474,4
475,7
476,5
477,9
478,5
479,9
480,8
481,1
482,2
483,1
484,6
485,0
486,0
487,9
488,5
489,5
490,5
491,2
492,1
493,4
494,8
495,0
496,3
497,9
498,0
499,7
500,2
501,6
502,5
503,3
504,4
505,6
506,9
507,2
508,2
509,9
510,7
511,2
512,9
513,0
514,0
515,4
516,2
517,5
518,2
519,8
520,2
521,7
522,3
523,3
524,5
525,2
526,1
527,0
528,4
529,2
530,8
531,2
532,2
533,2
534,5
535,8
536,9
537,0
538,3
539,7
540,3
541,2
542,7
543,8
544,6
545,5
546,9
547,6
548,7
549,4
550,3
551,1
552,2
553,9
554,6
555,9
556,2
557,4
558,4
559,9
560,4
561,0
562,2
563,9
564,2
565,2
566,4
567,4
568,5
569,6
570,3
571,5
572,4
573,3
574,8
575,1
576,4
577,2
578,8
579,2
580,6
581,3
582,3
583,4
584,2
585,6
586,4
587,4
588,9
589,3
590,7
591,2
592,1
593,9
594,6
595,2
596,1
597,1
598,1
599,0
600,8
601,0
602,3
603,0
604,1
605,8
606,3
607,1
608,6
609,4
610,2
611,0
612,9
613,6
614,7
615,4
616,0
617,1
618,8
619,8
620,7
621,8
622,5
623,6
624,0
625,3
626,6
627,2
628,2
629,8
630,9
631,4
632,0
633,8
634,3
635,2
636,8
637,3
638,5
639,4
640,5
641,0
642,7
643,5
644,6
645,5
646,5
647,1
648,1
649,7
650,0
651,7
652,0
653,0
654,4
655,6
656,9
657,6
658,7
659,6
660,3
661,8
662,7
663,3
664,5
665,0
666,2
667,1
668,3
669,0
670,0
671,0
672,0
673,8
674,5
675,1
676,7
677,8
678,7
679,1
680,2
681,9
682,9
683,9
684,5
685,9
686,9
687,4
688,9
689,6
690,5
691,7
692,9
693,3
694,5
695,5
696,9
697,2
