,training
0,9.0
1,6.0
2,6.0
3,1.0
4,7.0
5,1.0
6,9.0
7,3.0
8,6.0
9,1.0
10,9.0
11,2.0
12,0.0
13,6.0
14,2.0
15,9.0
16,8.0
17,2.0
18,7.0
19,5.0
20,1.0
21,2.0
22,2.0
23,7.0
24,0.0
25,7.0
26,2.0
27,1.0
28,5.0
29,3.0
30,2.0
31,8.0
32,2.0
33,3.0
34,1.0
35,6.0
36,4.0
37,2.0
38,4.0
39,9.0
40,1.0
41,8.0
42,7.0
43,0.0
44,8.0
45,6.0
46,6.0
47,7.0
48,2.0
49,7.0
50,6.0
51,1.0
52,5.0
53,9.0
54,8.0
55,5.0
56,1.0
57,6.0
58,5.0
59,0.0
60,5.0
61,1.0
62,1.0
63,5.0
64,5.0
65,0.0
66,7.0
67,9.0
68,3.0
69,4.0
70,8.0
71,3.0
72,2.0
73,8.0
74,6.0
75,2.0
76,3.0
77,3.0
78,6.0
79,2.0
80,5.0
81,7.0
82,4.0
83,5.0
84,4.0
85,5.0
86,5.0
87,1.0
88,3.0
89,1.0
90,3.0
91,0.0
92,3.0
93,8.0
94,4.0
95,3.0
96,0.0
97,2.0
98,8.0
99,4.0
100,3.0
101,9.0
102,8.0
103,2.0
104,8.0
105,6.0
106,2.0
107,0.0
108,5.0
109,0.0
110,0.0
111,1.0
112,4.0
113,8.0
114,2.0
115,3.0
116,6.0
117,7.0
118,5.0
119,4.0
120,0.0
121,8.0
122,3.0
123,0.0
124,8.0
125,3.0
126,0.0
127,3.0
128,1.0
129,5.0
130,8.0
131,7.0
132,3.0
133,6.0
134,0.0
135,5.0
136,1.0
137,3.0
138,6.0
139,7.0
140,5.0
141,6.0
142,2.0
143,4.0
144,9.0
145,5.0
146,8.0
147,5.0
148,1.0
149,7.0
150,0.0
151,6.0
152,7.0
153,7.0
154,9.0
155,4.0
156,0.0
157,7.0
158,2.0
159,4.0
160,0.0
161,0.0
162,7.0
163,4.0
164,1.0
165,8.0
166,2.0
167,7.0
168,8.0
169,1.0
170,5.0
171,7.0
172,0.0
173,8.0
174,2.0
175,3.0
176,0.0
177,9.0
178,2.0
179,3.0
180,7.0
181,3.0
182,9.0
183,8.0
184,7.0
185,4.0
186,0.0
187,6.0
188,4.0
189,3.0
190,4.0
191,6.0
192,5.0
193,0.0
194,3.0
195,9.0
196,6.0
197,4.0
198,0.0
199,6.0
200,7.0
201,4.0
202,3.0
203,3.0
204,3.0
205,2.0
206,8.0
207,4.0
208,1.0
209,4.0
210,9.0
211,4.0
212,6.0
213,8.0
214,0.0
215,8.0
216,1.0
217,4.0
218,1.0
219,6.0
220,8.0
221,1.0
222,5.0
223,3.0
224,0.0
225,5.0
226,2.0
227,3.0
228,7.0
229,6.0
230,3.0
231,3.0
232,4.0
233,2.0
234,8.0
235,3.0
236,1.0
237,9.0
238,1.0
239,5.0
240,7.0
241,8.0
242,2.0
243,4.0
244,5.0
245,9.0
246,7.0
247,2.0
248,6.0
249,6.0
250,2.0
251,2.0
252,1.0
253,7.0
254,7.0
255,0.0
256,5.0
257,8.0
258,6.0
259,9.0
260,8.0
261,7.0
262,4.0
263,0.0
264,2.0
265,4.0
266,7.0
267,0.0
268,4.0
269,9.0
270,7.0
271,4.0
272,4.0
273,0.0
274,3.0
275,1.0
276,8.0
277,2.0
278,7.0
279,3.0
280,0.0
281,2.0
282,7.0
283,5.0
284,8.0
285,0.0
286,3.0
287,6.0
288,1.0
289,3.0
290,2.0
291,2.0
292,9.0
293,9.0
294,9.0
295,2.0
296,9.0
297,9.0
298,7.0
299,6.0
300,8.0
301,3.0
302,1.0
303,1.0
304,2.0
305,0.0
306,0.0
307,0.0
308,2.0
309,1.0
310,2.0
311,2.0
312,5.0
313,7.0
314,6.0
315,8.0
316,8.0
317,2.0
318,4.0
319,8.0
320,0.0
321,0.0
322,1.0
323,5.0
324,7.0
325,3.0
326,8.0
327,3.0
328,8.0
329,2.0
330,8.0
331,7.0
332,0.0
333,0.0
334,5.0
335,8.0
336,1.0
337,3.0
338,1.0
339,8.0
340,1.0
341,7.0
342,0.0
343,8.0
344,3.0
345,4.0
346,2.0
347,6.0
348,2.0
349,0.0
350,4.0
351,2.0
352,6.0
353,8.0
354,5.0
355,1.0
356,4.0
357,0.0
358,2.0
359,0.0
360,4.0
361,4.0
362,5.0
363,5.0
364,6.0
365,2.0
366,4.0
367,8.0
368,5.0
369,1.0
370,3.0
371,7.0
372,1.0
373,8.0
374,5.0
375,4.0
376,7.0
377,7.0
378,9.0
379,7.0
380,8.0
381,5.0
382,4.0
383,2.0
384,4.0
385,8.0
386,2.0
387,4.0
388,5.0
389,8.0
390,1.0
391,5.0
392,2.0
393,3.0
394,8.0
395,2.0
396,8.0
397,4.0
398,3.0
399,3.0
400,4.0
401,7.0
402,9.0
403,1.0
404,1.0
405,1.0
406,0.0
407,9.0
408,8.0
409,6.0
410,2.0
411,9.0
412,2.0
413,3.0
414,1.0
415,7.0
416,6.0
417,8.0
418,6.0
419,8.0
420,7.0
421,5.0
422,7.0
423,8.0
424,2.0
425,8.0
426,7.0
