,training
0,4
1,5
2,0
3,4
4,8
5,4
6,9
7,3
8,2
9,2
10,8
11,3
12,4
13,2
14,8
15,5
16,7
17,5
18,2
19,4
20,1
21,9
22,0
23,2
24,5
25,8
26,1
27,6
28,6
29,5
30,0
31,8
32,2
33,7
34,8
35,5
36,4
37,4
38,1
39,0
40,4
41,1
42,5
43,0
44,3
45,0
46,0
47,1
48,4
49,8
50,6
51,3
52,8
53,3
54,8
55,3
56,6
57,9
58,2
59,4
60,1
61,1
62,0
63,6
64,1
65,4
66,5
67,8
68,9
69,6
70,2
71,5
72,2
73,0
74,1
75,3
76,7
77,8
78,8
79,6
80,5
81,2
82,9
83,8
84,4
85,7
86,1
87,6
88,6
89,2
90,2
91,6
92,9
93,5
94,0
95,7
96,3
97,4
98,9
99,8
100,9
101,5
102,4
103,6
104,3
105,0
106,6
107,5
108,7
109,8
110,9
111,5
112,6
113,7
114,2
115,8
116,3
117,7
118,1
119,7
120,8
121,2
122,8
123,7
124,1
125,3
126,7
127,9
128,0
129,7
130,2
131,9
132,2
133,2
134,8
135,3
136,4
137,6
138,7
139,7
140,8
141,8
142,1
143,3
144,4
145,2
146,3
147,7
148,2
149,4
150,9
151,9
152,3
153,2
154,1
155,7
156,5
157,3
158,1
159,6
160,1
161,3
162,8
163,2
164,1
165,6
166,7
167,4
168,9
169,7
170,2
171,8
172,4
173,2
174,6
175,8
176,2
177,3
178,5
179,8
180,5
181,3
182,2
183,4
184,5
185,1
186,4
187,2
188,6
189,9
190,8
191,5
192,0
193,1
194,8
195,3
196,2
197,2
198,9
199,3
200,5
201,1
202,0
203,5
204,8
205,2
206,6
207,1
208,2
209,9
210,9
211,9
212,0
213,2
214,6
215,2
216,4
217,4
218,2
219,7
220,0
221,5
222,9
223,1
224,8
225,8
226,6
227,1
228,7
229,2
230,4
231,3
232,1
233,1
234,9
235,8
236,7
237,7
238,7
239,7
240,4
241,6
242,6
243,2
244,2
245,5
246,6
247,4
248,5
249,7
250,6
251,5
252,4
253,5
254,0
255,2
256,0
257,3
258,7
259,8
260,5
261,8
262,8
263,1
264,7
265,2
266,8
267,4
268,9
269,8
270,5
271,3
272,4
273,3
274,4
275,7
276,8
277,2
278,4
279,7
280,4
281,2
282,4
283,0
284,4
285,6
286,0
287,5
288,3
289,3
290,2
291,9
292,1
293,0
294,5
295,6
296,4
297,9
298,4
299,7
300,2
301,8
302,8
303,1
304,5
305,0
306,4
307,9
308,6
309,3
310,5
311,6
312,6
313,9
314,8
315,1
316,3
317,6
318,8
319,5
320,7
321,4
322,2
323,8
324,4
325,6
326,4
327,6
328,7
329,5
330,9
331,6
332,7
333,7
334,7
335,5
336,7
337,0
338,6
339,5
340,1
341,6
342,3
343,8
344,7
345,2
346,4
347,5
348,9
349,7
350,0
351,2
352,4
353,6
354,3
355,5
356,7
357,3
358,8
359,2
360,9
361,8
362,4
363,0
364,0
365,2
366,5
367,9
368,5
369,8
370,7
371,0
372,1
373,3
374,3
375,4
376,9
377,3
378,6
379,8
380,4
381,2
382,8
383,3
384,8
385,6
386,9
387,0
388,6
389,9
390,8
391,5
392,2
393,6
394,0
395,8
396,6
397,2
398,3
399,0
400,0
401,5
402,1
403,9
404,3
405,8
406,0
407,2
408,5
409,6
410,3
411,0
412,8
413,0
414,7
415,1
416,3
417,6
418,8
419,2
420,9
421,7
422,0
423,6
424,4
425,7
426,9
427,8
428,8
429,9
430,8
431,9
432,9
433,7
434,8
435,2
436,1
437,8
438,2
439,0
440,1
441,4
442,4
443,2
444,5
445,9
446,5
447,4
448,4
449,8
450,9
451,5
452,8
453,9
454,1
455,3
456,5
457,0
458,8
459,2
460,8
461,5
462,5
463,5
464,3
465,8
466,8
467,3
468,5
469,8
470,8
471,1
472,0
473,6
474,9
475,6
476,4
477,3
478,4
479,2
480,5
481,1
482,6
483,8
484,2
485,9
486,4
487,1
488,6
489,5
490,5
491,8
492,9
493,6
494,2
495,7
496,9
497,5
498,6
499,1
500,8
501,5
502,9
503,8
504,0
505,4
506,2
507,6
508,7
509,0
510,6
511,7
512,5
513,0
514,6
515,7
516,1
517,0
518,1
519,7
520,2
521,8
522,0
523,8
524,7
525,2
526,4
527,6
528,3
529,1
530,7
531,8
532,6
533,0
534,5
535,3
536,9
537,8
538,4
539,6
540,3
541,2
542,7
543,4
544,7
545,9
546,0
547,3
548,9
549,8
550,2
551,4
552,7
553,4
554,5
555,8
556,1
557,6
558,9
559,5
560,8
561,3
562,5
563,2
564,1
565,2
566,8
567,2
568,4
569,2
570,2
571,6
572,0
573,1
574,6
575,0
576,7
577,0
578,4
579,2
580,5
581,0
582,0
583,7
584,3
585,7
586,1
587,8
588,1
589,2
590,7
591,6
592,9
593,0
594,3
595,5
596,2
597,6
598,6
599,8
600,6
601,2
602,9
603,0
604,1
605,0
606,0
607,9
608,8
609,2
610,4
611,3
612,2
613,3
614,8
615,2
616,6
617,5
618,8
619,3
620,6
621,9
622,4
623,3
624,1
625,3
626,6
627,4
628,3
629,2
630,6
631,8
632,8
633,9
634,6
635,1
636,3
637,9
638,2
639,6
640,2
641,7
642,0
643,5
644,1
645,3
646,4
647,4
648,3
649,5
650,7
651,1
652,5
653,6
654,7
655,4
656,8
657,8
658,6
659,8
660,4
661,5
662,9
663,1
664,9
665,2
666,8
667,3
668,8
669,4
670,4
671,5
672,9
673,6
674,4
675,6
676,6
677,8
678,4
679,8
680,8
681,8
682,8
683,0
684,9
685,9
686,5
687,7
688,9
689,2
690,3
691,2
692,4
693,9
694,2
695,8
696,8
697,1
698,5
699,8
700,3
701,9
702,0
703,2
704,6
705,6
706,7
707,6
708,5
709,8
710,5
711,2
712,9
713,9
714,4
715,2
716,5
717,7
718,0
719,1
720,1
721,0
722,2
723,1
724,6
725,8
726,8
727,4
728,5
729,5
730,9
731,4
732,0
733,5
734,3
735,4
736,6
737,5
738,3
739,8
740,9
741,6
742,4
743,0
744,6
745,0
746,0
747,9
748,6
749,3
750,8
751,2
752,1
753,7
754,7
755,1
756,8
757,2
758,1
759,6
760,1
761,2
762,6
763,5
764,8
765,3
766,6
767,0
768,1
769,3
770,6
771,4
772,0
773,2
774,8
775,0
776,1
777,3
778,4
779,8
780,8
781,2
782,8
783,4
784,1
785,3
786,8
787,5
788,0
789,5
790,9
791,0
792,3
793,6
794,3
795,6
796,1
797,4
798,8
799,0
800,2
801,7
802,5
803,5
804,1
805,2
806,7
807,3
808,4
809,1
810,1
811,1
812,7
813,8
814,5
815,7
816,1
817,0
818,0
819,2
820,7
821,9
822,5
823,2
824,7
825,4
826,2
827,7
828,3
829,0
830,2
831,2
832,0
833,4
834,3
835,2
836,3
837,3
838,1
839,6
840,6
841,5
842,2
843,2
844,4
845,2
846,7
847,8
848,0
849,7
850,8
851,1
852,4
853,6
854,1
855,0
856,8
857,5
858,0
859,4
860,5
861,8
862,1
863,4
864,3
865,8
866,6
867,1
868,7
869,3
870,7
871,3
872,4
873,0
874,4
875,8
876,7
877,6
878,5
879,4
880,0
881,5
882,1
883,6
884,7
885,4
886,0
887,7
888,0
889,7
890,9
891,7
892,6
893,7
894,6
895,9
896,3
897,1
898,2
899,2
900,0
901,7
902,8
903,4
904,4
905,5
906,5
907,8
908,3
909,0
910,4
911,4
912,6
913,2
914,8
915,1
916,5
917,1
918,6
919,9
920,0
921,6
922,7
923,1
924,9
925,3
926,8
927,3
928,3
929,1
930,8
931,8
932,7
933,8
934,0
935,5
936,6
937,6
938,0
939,0
940,3
941,2
942,2
943,0
944,6
945,4
946,7
947,1
948,1
949,9
950,4
951,8
952,6
953,5
954,5
955,9
956,7
957,5
958,9
959,1
960,2
961,9
962,9
963,8
964,9
965,1
966,4
967,4
968,8
969,4
970,8
971,5
972,1
973,1
974,9
975,7
976,8
977,3
978,5
979,7
980,7
981,6
982,0
983,4
984,4
985,4
986,8
987,9
988,4
989,6
990,0
991,7
992,7
993,7
994,3
995,1
996,0
997,2
998,6
999,4
1000,3
1001,6
1002,6
1003,0
1004,8
1005,5
1006,9
1007,9
1008,0
1009,8
1010,5
1011,5
1012,7
1013,8
1014,2
1015,9
1016,0
1017,7
1018,1
1019,2
1020,7
1021,2
1022,2
1023,4
1024,8
1025,3
1026,8
1027,2
1028,7
1029,3
1030,6
1031,3
1032,0
1033,0
1034,3
1035,8
1036,2
1037,7
1038,3
1039,2
1040,4
1041,0
1042,6
1043,1
