,training
0,1
1,9
2,3
3,7
4,8
5,3
6,7
7,5
8,2
9,0
10,6
11,1
12,5
13,0
14,5
15,5
16,6
17,9
18,1
19,4
20,2
21,8
22,3
23,3
24,2
25,9
26,7
27,7
28,3
29,2
30,1
31,4
32,7
33,8
34,3
35,3
36,3
37,2
38,4
39,3
40,8
41,0
42,8
43,8
44,8
45,1
46,6
47,3
48,5
49,3
50,1
51,0
52,8
53,7
54,0
55,3
56,1
57,3
58,9
59,1
60,0
61,0
62,7
63,7
64,3
65,0
66,1
67,9
68,6
69,5
70,7
71,0
72,8
73,8
74,6
75,9
76,1
77,5
78,4
79,0
80,0
81,3
82,4
83,4
84,8
85,3
86,7
87,6
88,5
89,5
90,4
91,0
92,8
93,7
94,0
95,5
96,0
97,3
98,4
99,8
100,6
101,4
102,5
103,9
104,8
105,6
106,5
107,4
108,1
109,9
110,6
111,0
112,6
113,2
114,6
115,4
116,0
117,0
118,6
119,7
120,4
121,7
122,9
123,4
124,8
125,2
126,2
127,3
128,0
129,1
130,9
131,2
132,4
133,2
134,9
135,2
136,1
137,9
138,0
139,3
140,5
141,7
142,5
143,7
144,3
145,3
146,0
147,9
148,8
149,4
150,6
151,8
152,6
153,6
154,6
155,7
156,2
157,4
158,4
159,9
160,8
161,1
162,8
163,5
164,5
165,0
166,5
167,4
168,3
169,9
170,8
171,6
172,1
173,8
174,2
175,4
176,8
177,0
178,3
179,9
180,3
181,7
182,4
183,0
184,5
185,8
186,9
187,0
188,1
189,6
190,6
191,0
192,9
193,3
194,2
195,0
196,7
197,8
198,8
199,0
200,4
201,8
202,4
203,2
204,2
205,6
206,6
207,8
208,5
209,0
210,6
211,8
212,0
213,0
214,4
215,0
216,0
217,7
218,5
219,3
220,5
221,5
222,4
223,6
224,1
225,8
226,3
227,5
228,1
229,7
230,9
231,2
232,4
233,1
234,3
235,6
236,3
237,5
238,1
239,9
240,8
241,5
242,8
243,1
244,6
245,2
246,0
247,3
248,6
249,0
250,6
251,8
252,4
253,2
254,9
255,4
256,5
257,8
258,6
259,0
260,6
261,8
262,7
263,3
264,0
265,5
266,6
267,1
268,0
269,9
270,5
271,6
272,0
273,7
274,9
275,0
276,4
277,0
278,1
279,4
280,9
281,5
282,3
283,7
284,9
285,0
286,5
287,5
288,0
289,3
290,5
291,9
292,2
293,9
294,7
295,7
296,1
297,1
298,5
299,1
300,0
301,7
302,9
303,4
304,6
305,0
306,4
307,8
308,1
309,8
310,6
311,4
312,9
313,6
314,2
315,6
316,6
317,4
318,3
319,1
320,2
321,3
322,5
323,1
324,7
325,9
326,2
327,3
328,8
329,3
330,0
331,1
332,7
333,6
334,2
335,4
336,8
337,2
338,8
339,4
340,0
341,7
342,5
343,8
344,5
345,7
346,1
347,0
348,5
349,2
350,7
351,0
352,9
353,7
354,9
355,1
356,8
357,4
358,1
359,7
360,7
361,6
362,4
363,5
364,9
365,8
366,8
367,1
368,0
369,3
370,1
371,4
372,4
373,6
374,4
375,7
376,9
377,7
378,7
379,5
380,6
381,3
382,9
383,7
384,1
385,7
386,1
387,8
388,3
389,2
390,2
391,2
392,8
393,1
394,7
395,7
396,4
397,8
398,6
399,0
400,8
401,3
402,3
403,9
404,8
405,6
406,3
407,7
408,7
409,7
410,5
411,2
412,1
413,2
414,4
415,1
416,0
417,3
418,9
419,6
420,4
421,7
422,6
423,2
424,6
425,8
426,2
427,8
428,4
429,5
430,0
431,3
432,5
433,7
434,0
435,1
436,7
437,2
438,4
439,7
440,4
441,7
442,4
443,4
444,2
445,7
446,9
447,8
448,0
449,2
450,9
451,0
452,2
453,9
454,9
455,2
456,6
457,4
458,1
459,6
460,6
461,4
462,5
463,9
464,9
465,0
466,9
467,9
468,9
469,2
470,4
471,5
472,0
473,7
474,5
475,2
476,1
477,9
478,7
479,4
480,1
481,9
482,5
483,2
484,1
485,2
486,2
487,5
488,9
489,7
490,6
491,5
492,2
493,7
494,4
495,3
496,6
497,0
498,6
499,4
500,4
501,7
502,5
503,6
504,6
505,2
506,5
507,5
508,9
509,6
510,3
511,9
512,6
513,6
514,8
515,4
516,3
517,5
518,0
519,1
520,2
521,5
522,7
523,7
524,9
525,5
526,0
527,3
528,5
529,3
530,8
531,2
532,2
533,2
534,1
535,5
536,9
537,5
538,6
539,1
540,1
541,1
542,4
543,0
544,5
545,8
546,5
547,2
548,8
549,2
550,8
551,7
552,0
553,3
554,9
555,1
556,8
557,5
558,7
559,4
560,3
561,0
562,9
563,5
564,8
565,7
566,0
567,8
568,7
569,2
570,2
571,5
572,7
573,6
574,4
575,2
576,3
577,4
578,2
579,1
580,3
581,1
582,1
583,0
584,6
585,1
586,4
587,4
588,6
589,0
590,6
591,0
592,3
593,2
594,5
595,3
596,2
597,4
598,1
599,0
600,7
601,1
602,5
603,2
604,1
605,9
606,8
607,8
608,7
609,4
610,2
611,4
612,5
613,2
614,8
615,7
616,7
617,7
618,0
619,1
620,9
621,8
622,0
623,9
624,0
625,9
626,1
627,9
628,3
629,5
630,4
631,9
632,8
633,9
634,1
635,6
636,0
637,3
638,9
639,4
640,6
641,7
642,7
643,5
644,2
645,4
646,3
647,3
648,0
649,2
650,9
651,9
652,4
653,8
654,3
655,3
656,5
657,4
658,0
659,6
660,4
661,6
662,3
663,6
664,5
665,8
666,3
667,8
668,1
669,2
670,6
671,0
672,5
673,9
674,8
675,7
676,9
677,1
678,3
679,0
680,2
681,2
682,3
683,7
684,8
685,2
686,2
687,3
688,2
689,8
690,9
691,8
692,8
693,4
694,0
695,9
696,6
697,8
698,7
699,8
700,4
701,7
702,1
703,2
704,9
705,3
706,7
707,1
708,7
709,1
710,3
711,4
712,0
713,1
714,9
715,2
716,0
717,4
718,4
719,3
720,9
721,9
722,3
723,5
724,2
725,0
726,6
727,2
728,8
729,0
730,1
731,3
732,4
733,4
734,8
735,2
736,7
737,0
738,8
739,8
740,4
741,5
742,2
743,3
744,4
745,7
746,8
747,0
748,1
749,7
750,6
751,1
752,1
753,7
754,5
755,7
756,8
757,4
758,6
759,0
760,0
761,7
762,7
763,8
764,5
765,1
766,2
767,7
768,9
769,9
770,3
771,7
772,9
773,5
774,4
775,4
776,6
777,4
778,0
779,4
780,4
781,7
782,0
783,1
784,2
785,9
786,1
787,4
788,7
789,2
790,5
791,4
792,8
793,5
794,1
795,9
796,9
797,5
798,7
799,0
800,5
801,4
802,5
803,8
804,7
805,7
806,9
807,4
808,8
809,2
810,2
811,3
812,3
813,3
814,9
815,5
816,9
817,5
818,5
819,6
820,8
821,4
822,8
823,5
824,2
825,3
826,6
827,0
828,5
829,5
830,3
831,4
832,7
833,9
834,8
835,6
836,5
837,7
838,9
839,8
840,2
841,3
842,3
843,8
844,5
845,3
846,3
847,1
848,1
849,5
850,2
851,6
852,5
853,2
854,7
855,2
856,4
857,7
858,2
859,2
860,9
861,4
862,7
863,6
864,8
865,2
866,3
867,8
868,4
869,5
870,3
871,0
872,9
873,1
874,2
875,5
876,7
877,7
878,8
879,6
880,2
881,7
882,0
883,9
884,9
885,1
886,4
887,8
888,8
889,0
890,3
891,7
892,9
893,8
894,5
895,9
896,5
897,6
898,1
899,3
900,2
901,9
902,2
903,6
904,4
905,2
906,0
907,1
908,1
909,0
910,5
911,2
912,4
913,6
914,2
915,3
916,0
917,8
918,6
919,5
920,6
921,6
922,0
923,4
924,8
925,7
926,4
927,6
928,6
929,9
930,8
931,6
932,9
933,2
934,2
935,8
936,9
937,4
938,0
939,8
940,2
941,3
942,0
943,7
944,8
945,3
946,9
947,0
948,9
949,7
950,0
951,0
952,2
953,8
954,6
955,8
956,5
957,9
958,6
959,6
960,2
961,4
962,8
963,2
964,9
965,8
966,6
967,7
968,5
969,8
970,4
971,7
972,7
973,2
974,3
975,2
976,4
977,8
978,0
979,8
980,4
981,5
982,5
983,0
984,5
985,6
986,0
987,1
988,1
989,6
990,2
991,4
992,6
993,4
994,2
995,4
996,2
997,4
998,5
999,5
1000,0
1001,8
1002,7
1003,6
1004,9
1005,3
1006,5
1007,2
1008,6
1009,4
1010,8
1011,8
1012,7
1013,9
1014,6
1015,6
1016,3
1017,8
1018,4
1019,2
1020,3
1021,3
1022,7
1023,4
1024,5
1025,5
1026,2
1027,7
1028,8
1029,0
1030,2
1031,7
1032,3
1033,0
1034,3
1035,5
1036,7
1037,9
1038,4
1039,2
1040,1
1041,5
1042,4
1043,0
1044,2
1045,7
1046,9
1047,9
1048,9
1049,3
1050,7
1051,3
1052,6
1053,3
1054,0
1055,7
1056,5
1057,1
1058,4
1059,0
1060,8
1061,6
1062,4
1063,5
1064,0
1065,0
1066,0
1067,7
1068,4
1069,1
1070,0
1071,0
1072,3
1073,2
1074,4
1075,5
1076,1
1077,5
1078,8
1079,0
1080,0
1081,4
1082,9
1083,3
1084,5
1085,3
1086,6
1087,5
1088,7
1089,7
1090,0
1091,5
1092,9
1093,7
1094,5
1095,5
1096,1
1097,6
1098,6
1099,6
1100,6
1101,8
1102,7
1103,6
1104,0
1105,6
1106,9
1107,5
1108,0
1109,6
1110,5
1111,2
1112,9
1113,6
1114,8
1115,8
1116,1
1117,9
1118,5
1119,1
1120,8
1121,4
1122,6
1123,6
1124,7
1125,4
1126,9
1127,2
1128,7
1129,5
1130,0
1131,7
1132,0
1133,1
1134,8
1135,5
1136,9
1137,5
1138,2
1139,1
1140,0
1141,2
1142,6
1143,9
1144,2
1145,7
1146,8
1147,3
1148,7
1149,4
1150,9
1151,2
1152,5
1153,5
1154,3
1155,9
1156,8
1157,1
1158,0
1159,6
1160,8
1161,7
1162,1
1163,2
1164,1
1165,3
1166,0
1167,9
1168,0
1169,9
1170,8
1171,7
1172,9
1173,3
1174,6
1175,2
1176,0
1177,7
1178,1
1179,4
1180,5
1181,3
1182,7
1183,4
1184,8
1185,2
1186,8
1187,0
1188,9
1189,8
1190,7
1191,3
1192,9
1193,8
1194,5
1195,6
1196,2
1197,8
1198,2
1199,9
1200,8
1201,8
1202,6
1203,0
1204,8
1205,3
1206,2
1207,1
1208,4
1209,6
1210,6
1211,6
1212,8
1213,4
1214,5
1215,0
1216,4
1217,1
1218,5
1219,7
1220,3
1221,9
1222,1
1223,3
1224,4
1225,6
1226,0
1227,6
1228,0
1229,3
1230,6
1231,7
1232,8
1233,1
1234,9
1235,9
1236,3
1237,0
1238,1
1239,0
1240,8
1241,8
1242,4
1243,7
1244,4
1245,6
1246,5
1247,9
1248,6
1249,1
1250,4
1251,9
1252,8
1253,1
1254,3
1255,2
1256,4
1257,9
1258,0
1259,0
1260,0
1261,4
1262,6
1263,7
1264,4
1265,6
1266,3
1267,2
1268,0
1269,4
1270,9
1271,0
1272,9
1273,3
1274,6
1275,0
1276,0
1277,6
1278,5
1279,6
1280,1
1281,9
1282,7
1283,8
1284,9
1285,1
1286,3
1287,0
1288,7
1289,2
1290,5
1291,4
1292,0
1293,4
1294,4
1295,7
1296,4
1297,2
1298,8
1299,0
1300,5
1301,4
1302,0
1303,7
1304,4
1305,2
1306,0
1307,0
1308,6
1309,4
1310,6
1311,5
1312,4
1313,8
1314,9
1315,0
1316,2
1317,8
1318,6
1319,2
1320,0
1321,6
1322,1
1323,5
1324,5
1325,2
1326,5
1327,9
1328,8
1329,4
1330,1
1331,5
1332,8
1333,8
1334,2
1335,2
1336,8
1337,1
1338,5
1339,5
1340,2
1341,2
1342,8
1343,5
