,training
0,7.0
1,6.0
2,2.0
3,7.0
4,1.0
5,1.0
6,5.0
7,1.0
8,4.0
9,7.0
10,3.0
11,8.0
12,5.0
13,6.0
14,6.0
15,8.0
16,6.0
17,9.0
18,6.0
19,1.0
20,4.0
21,6.0
22,8.0
23,7.0
24,4.0
25,4.0
26,6.0
27,9.0
28,1.0
29,8.0
30,1.0
31,7.0
32,9.0
33,8.0
34,1.0
35,2.0
36,2.0
37,7.0
38,8.0
39,6.0
40,1.0
41,7.0
42,9.0
43,5.0
44,6.0
45,9.0
46,0.0
47,5.0
48,7.0
49,5.0
50,6.0
51,4.0
52,8.0
53,9.0
54,7.0
55,9.0
56,1.0
57,3.0
58,5.0
59,9.0
60,5.0
61,2.0
62,6.0
63,1.0
64,5.0
65,2.0
66,6.0
67,5.0
68,6.0
69,5.0
70,3.0
71,9.0
72,2.0
73,1.0
74,1.0
75,3.0
76,8.0
77,9.0
78,0.0
79,8.0
80,9.0
81,6.0
82,0.0
83,1.0
84,8.0
85,8.0
86,4.0
87,3.0
88,6.0
89,7.0
90,4.0
91,3.0
92,2.0
93,8.0
94,7.0
95,8.0
96,6.0
97,7.0
98,0.0
99,3.0
100,5.0
101,4.0
102,5.0
103,9.0
104,3.0
105,1.0
106,5.0
107,1.0
108,6.0
109,6.0
110,2.0
111,8.0
112,0.0
113,2.0
114,5.0
115,2.0
116,1.0
117,9.0
118,5.0
119,2.0
120,4.0
121,4.0
122,1.0
123,2.0
124,0.0
125,1.0
126,0.0
127,3.0
128,9.0
129,7.0
130,1.0
131,2.0
132,9.0
133,2.0
134,4.0
135,1.0
136,0.0
137,6.0
138,2.0
139,9.0
140,1.0
141,2.0
142,2.0
143,6.0
144,0.0
145,6.0
146,7.0
147,3.0
148,2.0
149,2.0
150,2.0
151,4.0
152,0.0
153,4.0
154,2.0
155,9.0
156,2.0
157,4.0
158,0.0
159,8.0
160,8.0
161,8.0
162,4.0
163,2.0
164,7.0
165,7.0
166,2.0
167,6.0
168,8.0
169,8.0
170,4.0
171,4.0
172,4.0
173,5.0
174,1.0
175,4.0
176,0.0
177,5.0
178,2.0
179,0.0
180,2.0
181,3.0
182,7.0
183,4.0
184,7.0
185,4.0
186,8.0
187,3.0
188,8.0
189,7.0
190,8.0
191,9.0
192,9.0
193,4.0
194,7.0
195,8.0
196,3.0
197,7.0
198,1.0
199,6.0
200,6.0
201,3.0
202,8.0
203,5.0
204,9.0
205,1.0
206,2.0
207,4.0
208,0.0
209,1.0
210,8.0
211,3.0
212,8.0
213,6.0
214,3.0
215,3.0
216,0.0
217,4.0
218,8.0
219,3.0
220,3.0
221,6.0
222,4.0
223,9.0
224,9.0
225,3.0
226,1.0
227,4.0
228,7.0
229,3.0
230,6.0
231,0.0
232,9.0
233,3.0
234,1.0
235,6.0
236,5.0
