,training
0,8.0
1,3.0
2,0.0
3,0.0
4,1.0
5,0.0
6,5.0
7,3.0
8,8.0
9,1.0
10,1.0
11,2.0
12,0.0
13,8.0
14,8.0
15,3.0
16,6.0
17,2.0
18,2.0
19,7.0
20,6.0
21,5.0
22,1.0
23,3.0
24,5.0
25,6.0
26,1.0
27,4.0
28,7.0
29,8.0
30,1.0
31,7.0
32,3.0
33,5.0
34,6.0
35,2.0
36,0.0
37,0.0
38,7.0
39,6.0
40,8.0
41,7.0
42,9.0
43,7.0
44,1.0
45,3.0
46,8.0
47,6.0
48,4.0
49,4.0
50,1.0
51,1.0
52,5.0
53,1.0
54,0.0
55,3.0
56,6.0
57,8.0
58,7.0
59,3.0
60,4.0
61,6.0
62,8.0
63,2.0
64,9.0
65,4.0
66,9.0
67,5.0
68,7.0
69,0.0
70,5.0
71,9.0
72,4.0
73,0.0
74,2.0
75,1.0
76,4.0
77,4.0
78,3.0
79,9.0
80,7.0
81,6.0
82,9.0
83,7.0
84,7.0
85,8.0
86,5.0
87,6.0
88,9.0
89,7.0
90,6.0
91,8.0
92,5.0
93,2.0
94,5.0
95,3.0
96,8.0
97,0.0
98,9.0
99,5.0
100,9.0
101,1.0
102,0.0
103,5.0
104,4.0
105,5.0
106,5.0
107,4.0
108,5.0
109,2.0
110,0.0
111,7.0
112,1.0
113,0.0
114,4.0
115,2.0
116,9.0
117,4.0
118,0.0
119,7.0
120,6.0
121,0.0
122,5.0
123,0.0
124,7.0
125,7.0
126,5.0
127,2.0
128,9.0
129,3.0
130,3.0
131,2.0
132,5.0
133,7.0
134,8.0
135,8.0
136,4.0
137,9.0
138,8.0
139,2.0
140,8.0
141,7.0
142,4.0
143,3.0
144,9.0
145,1.0
146,5.0
147,6.0
148,9.0
149,2.0
150,8.0
151,6.0
152,1.0
153,8.0
154,6.0
155,7.0
156,5.0
157,8.0
158,9.0
159,3.0
160,0.0
161,3.0
162,6.0
163,1.0
164,0.0
165,5.0
166,5.0
167,6.0
168,9.0
169,0.0
170,9.0
171,7.0
172,8.0
173,8.0
174,7.0
175,3.0
176,4.0
177,3.0
178,5.0
179,6.0
180,1.0
181,7.0
182,4.0
183,2.0
184,1.0
185,8.0
186,8.0
187,4.0
188,1.0
189,0.0
190,4.0
191,8.0
192,9.0
193,8.0
194,1.0
195,2.0
196,2.0
197,7.0
198,6.0
199,3.0
200,2.0
201,9.0
202,2.0
203,6.0
204,8.0
205,7.0
206,5.0
207,8.0
208,4.0
209,5.0
210,3.0
211,4.0
212,8.0
213,6.0
214,3.0
215,2.0
216,8.0
217,0.0
218,9.0
219,7.0
220,0.0
221,6.0
222,8.0
223,4.0
224,5.0
225,1.0
226,4.0
227,1.0
228,2.0
229,8.0
230,4.0
231,8.0
232,1.0
233,0.0
234,4.0
235,8.0
236,4.0
237,8.0
238,7.0
239,3.0
240,5.0
241,4.0
242,8.0
243,9.0
244,3.0
245,2.0
246,3.0
247,8.0
248,5.0
249,2.0
250,9.0
251,6.0
252,8.0
253,7.0
254,2.0
255,9.0
256,8.0
257,8.0
258,7.0
259,5.0
260,4.0
261,7.0
262,6.0
263,5.0
264,9.0
265,8.0
266,7.0
267,2.0
268,1.0
269,2.0
270,8.0
271,7.0
272,3.0
273,1.0
274,6.0
275,7.0
276,5.0
