,training
0,7
1,3
2,5
3,4
4,1
5,6
6,8
7,7
8,8
9,9
10,0
11,0
12,8
13,6
14,3
15,4
16,1
17,3
18,7
19,2
20,1
21,6
22,3
23,9
24,7
25,3
26,1
27,1
28,5
29,5
30,0
31,1
32,5
33,7
34,4
35,3
36,6
37,5
38,8
39,8
40,7
41,4
42,1
43,7
44,5
45,7
46,4
47,4
48,7
49,0
50,5
51,4
52,9
53,2
54,8
55,4
56,1
57,1
58,9
59,0
60,2
61,5
62,2
63,5
64,2
65,0
66,3
67,0
68,3
69,3
70,0
71,2
72,5
73,1
74,4
75,2
76,4
77,4
78,5
79,8
80,5
81,5
82,2
83,7
84,9
85,1
86,1
87,2
88,0
89,4
90,3
91,5
92,2
93,8
94,3
95,2
96,7
97,9
98,5
99,0
100,5
101,7
102,6
103,5
104,3
105,8
106,9
107,3
108,0
109,9
110,8
111,2
112,6
113,8
114,8
115,5
116,9
117,6
118,7
119,1
120,2
121,9
122,4
123,8
124,4
125,0
126,2
127,7
128,1
129,6
130,7
131,0
132,4
133,8
134,3
135,2
136,0
137,5
138,6
139,0
140,8
141,7
142,8
143,6
144,5
145,5
146,3
147,7
148,2
149,1
150,2
151,4
152,8
153,5
154,1
155,8
156,8
157,6
158,6
159,4
160,3
161,3
162,7
163,9
164,3
165,5
166,1
167,0
168,2
169,0
170,3
171,5
172,6
173,5
174,8
175,2
176,0
177,2
178,1
179,6
180,7
181,4
182,2
183,5
184,3
185,9
186,0
187,6
188,9
189,2
190,6
191,3
192,9
193,9
194,7
195,8
196,1
197,6
198,5
199,7
200,7
201,4
202,7
203,2
204,9
205,8
206,3
207,3
208,0
209,2
210,7
211,0
212,2
213,8
214,4
215,8
216,2
217,4
218,3
219,6
220,3
221,6
222,4
223,3
224,1
225,6
226,9
227,5
228,8
229,4
230,5
231,6
232,4
233,9
234,7
235,0
236,2
237,4
238,3
239,0
240,4
241,1
242,8
243,5
244,9
245,6
246,3
247,5
248,0
249,4
250,9
251,6
252,4
253,5
254,5
255,2
256,3
257,2
258,4
259,8
260,3
261,0
262,2
263,5
264,0
265,3
266,0
267,8
268,2
269,8
270,3
271,3
272,3
273,8
274,8
275,2
276,3
277,3
278,6
279,4
280,3
281,7
282,9
283,6
284,3
285,6
286,8
287,5
288,0
289,6
290,7
291,8
292,2
293,0
294,7
295,0
296,6
297,1
298,2
299,3
300,8
301,3
302,9
303,9
304,1
305,7
306,6
307,3
308,6
309,1
310,2
311,3
312,6
313,7
314,1
315,8
316,2
317,2
318,9
319,0
320,4
321,3
322,9
323,3
324,7
325,3
326,1
327,0
328,4
329,2
330,5
331,5
332,3
333,5
334,6
335,7
336,8
337,0
338,7
339,9
340,2
341,6
342,0
343,2
344,7
345,2
346,7
347,3
348,2
349,4
350,6
351,8
352,6
353,4
354,5
355,4
356,5
357,4
358,5
359,2
360,2
361,6
362,5
363,9
364,6
365,0
366,2
367,0
368,5
369,6
370,5
371,3
372,8
373,5
374,4
375,4
376,2
377,9
378,1
379,4
380,4
381,3
382,3
383,6
384,4
385,7
386,8
387,0
388,9
389,9
390,8
391,4
392,0
393,5
394,8
395,5
396,7
397,4
398,9
399,1
400,8
401,1
402,3
403,3
404,0
405,5
406,7
407,9
408,1
409,3
410,4
411,3
412,1
413,6
414,7
415,8
416,3
417,8
418,0
419,3
420,5
421,3
422,0
423,0
424,0
425,6
426,7
427,1
428,1
429,2
430,4
431,0
432,6
433,3
434,6
435,5
436,5
437,7
438,1
439,1
440,9
441,4
442,5
443,4
444,6
445,9
446,7
447,7
448,5
449,1
450,5
451,2
452,2
453,7
454,2
455,4
456,1
457,6
458,2
459,5
460,2
461,6
462,4
463,8
464,0
465,6
466,4
467,9
468,7
469,9
470,0
471,6
472,6
473,9
474,5
475,1
476,0
477,1
478,0
479,7
480,3
481,3
482,9
483,0
484,5
485,9
486,8
487,4
488,0
489,1
490,1
491,1
492,5
493,6
494,5
495,4
496,2
497,0
498,9
499,5
500,6
501,3
502,2
503,8
504,0
505,5
506,1
507,8
508,4
509,2
510,9
511,8
512,2
513,7
514,5
515,6
516,7
517,7
518,9
519,3
520,6
521,0
522,9
523,6
524,1
525,8
526,1
527,7
528,6
529,4
530,3
531,2
532,8
533,7
534,8
535,8
536,1
537,4
538,6
539,7
540,7
541,9
542,9
543,0
544,0
545,3
546,5
547,7
548,1
549,6
550,8
551,8
552,1
553,5
554,6
555,8
556,1
557,8
558,7
559,8
560,3
561,4
562,6
563,4
564,1
565,8
566,6
567,7
568,4
569,2
570,2
571,6
572,6
573,7
574,8
575,2
576,4
577,9
578,3
579,6
580,3
581,8
582,1
583,4
584,7
585,8
586,1
587,7
588,2
589,8
590,7
591,9
592,1
593,2
594,6
595,3
596,5
