,training
0,8
1,0
2,1
3,9
4,7
5,3
6,0
7,3
8,4
9,8
10,7
11,9
12,8
13,0
14,8
15,3
16,4
17,2
18,1
19,5
20,5
21,4
22,7
23,3
24,9
25,5
26,1
27,8
28,7
29,8
30,0
31,0
32,8
33,8
34,6
35,7
36,9
37,4
38,2
39,4
40,1
41,7
42,2
43,3
44,9
45,5
46,1
47,7
48,6
49,8
50,9
51,1
52,2
53,9
54,7
55,9
56,7
57,9
58,5
59,8
60,9
61,4
62,2
63,4
64,8
65,3
66,4
67,6
68,3
69,1
70,7
71,1
72,9
73,3
74,3
75,8
76,3
77,5
78,7
79,0
80,4
81,1
82,5
83,0
84,2
85,4
86,7
87,5
88,9
89,5
90,0
91,2
92,9
93,8
94,6
95,3
96,5
97,8
98,4
99,6
100,4
101,6
102,0
103,3
104,8
105,0
106,2
107,3
108,2
109,6
110,3
111,2
112,1
113,8
114,0
115,8
116,4
117,5
118,3
119,1
120,7
121,0
122,1
123,3
124,1
125,0
126,4
127,6
128,4
129,6
130,5
131,5
132,8
133,2
134,0
135,9
136,1
137,1
138,9
139,1
140,9
141,2
142,8
143,4
144,4
145,7
146,8
147,0
148,3
149,3
150,4
151,7
152,7
153,5
154,1
155,2
156,4
157,1
158,1
159,5
160,0
161,5
162,8
163,4
164,0
165,4
166,4
167,0
168,5
169,8
170,1
171,0
172,2
173,0
174,3
175,7
176,5
177,4
178,2
179,5
180,1
181,9
182,8
183,9
184,2
185,3
186,4
187,6
188,2
189,0
190,9
191,1
192,2
193,3
194,4
195,0
196,9
197,8
198,7
199,6
200,0
201,1
202,7
203,2
204,9
205,2
206,2
207,6
208,4
209,8
210,1
211,6
212,6
213,5
214,1
215,6
216,6
217,7
218,0
219,5
220,7
221,8
222,2
223,3
224,3
225,7
226,0
227,1
228,9
229,1
230,0
231,7
232,0
233,7
234,8
235,2
236,1
237,9
238,0
239,7
240,0
241,2
242,6
243,3
244,8
245,6
246,7
247,4
248,8
249,2
250,3
251,2
252,2
253,5
254,2
255,2
256,1
257,8
258,7
259,9
260,3
261,3
262,0
263,2
264,4
265,1
266,5
267,0
268,7
269,0
270,3
271,1
272,3
273,4
274,4
275,4
276,5
277,0
278,7
279,2
280,8
281,6
282,3
283,1
284,3
285,9
286,7
287,3
288,0
289,6
290,2
291,9
292,3
293,5
294,0
295,2
296,7
297,5
298,5
299,4
300,8
301,9
302,4
303,3
304,1
305,3
306,5
307,8
308,2
309,1
310,7
311,6
312,0
313,3
314,5
315,0
316,0
317,9
318,5
319,3
320,4
321,6
322,6
323,1
324,3
325,3
326,5
327,2
328,4
329,4
330,3
331,8
332,8
333,2
334,6
335,1
336,4
337,1
338,1
339,4
340,6
341,1
342,7
343,4
344,4
345,2
346,1
347,7
348,0
349,0
350,2
351,3
352,6
353,3
354,7
355,7
356,5
357,0
358,5
359,2
360,8
361,8
362,8
363,0
364,2
365,4
366,4
367,3
368,3
369,9
370,4
371,1
372,8
373,7
374,2
375,4
376,9
377,5
378,8
379,6
380,4
381,9
382,4
383,4
384,5
385,8
386,0
387,1
388,5
389,6
390,3
391,4
392,4
393,7
394,5
395,2
396,6
397,9
398,9
399,0
400,2
401,7
402,3
403,3
404,9
405,5
406,6
407,3
408,1
409,9
410,6
411,4
412,5
413,1
414,5
415,4
416,8
417,5
418,3
419,2
420,8
421,8
422,9
423,5
424,3
425,5
426,2
427,8
428,3
429,6
430,8
431,3
432,0
433,7
434,4
435,4
436,6
437,3
438,3
439,9
440,2
441,4
442,2
443,8
444,2
445,3
446,6
447,7
448,1
449,7
450,6
451,5
452,4
453,9
454,5
455,2
456,8
457,4
458,0
459,1
460,5
461,6
462,8
463,4
464,7
465,2
466,0
467,6
468,6
469,4
470,8
471,8
472,7
473,9
474,6
475,7
476,1
477,3
478,7
479,4
480,3
481,9
482,3
483,0
484,1
485,8
486,4
487,5
488,4
489,9
490,8
491,2
492,2
493,8
494,7
495,5
496,3
497,2
498,8
499,6
500,8
501,2
502,2
503,0
504,4
505,2
506,1
507,9
508,0
509,5
510,7
511,9
512,2
513,4
514,2
515,3
516,4
517,2
518,0
519,0
520,4
521,2
522,5
523,2
524,5
525,5
526,6
527,6
528,9
529,3
530,4
531,9
532,3
533,1
534,3
535,1
536,5
537,6
538,0
539,7
540,7
541,8
542,7
543,1
544,9
545,3
546,2
547,1
548,8
549,7
550,0
551,3
552,7
553,7
554,0
555,3
556,6
557,9
558,1
559,4
560,7
561,3
562,6
563,4
564,4
565,8
566,6
567,9
568,1
569,3
570,7
571,0
572,1
573,9
574,6
575,7
576,8
577,3
578,4
579,6
580,0
581,3
582,2
583,5
584,7
585,7
586,0
587,4
588,7
589,3
590,5
591,3
592,7
593,1
594,6
595,0
596,4
597,2
598,2
599,4
600,5
601,0
602,6
603,5
604,2
605,3
606,6
607,2
608,4
609,5
610,8
611,5
612,3
613,8
614,7
615,0
616,7
617,0
618,4
619,2
620,3
621,3
622,1
623,5
624,9
625,0
626,1
627,1
628,3
629,2
630,9
631,1
632,7
633,7
634,9
635,0
636,0
637,6
638,8
639,5
640,6
641,5
642,3
643,0
644,7
645,7
646,5
647,5
648,2
649,8
650,0
651,4
652,8
653,5
654,0
655,3
656,1
657,3
658,4
659,5
660,0
661,9
662,4
663,0
664,6
665,8
666,8
667,7
668,9
669,4
670,1
671,8
672,8
673,8
674,1
675,5
676,0
677,4
678,1
679,8
680,2
681,1
682,5
683,6
684,3
685,6
686,6
687,8
688,1
689,4
690,0
691,7
692,1
693,0
694,7
695,9
696,3
697,6
698,4
699,0
700,8
701,8
702,2
703,5
704,7
705,7
706,6
707,6
708,0
709,8
710,5
711,4
712,7
713,8
714,7
715,0
716,8
717,4
718,0
719,4
720,4
721,6
722,8
723,7
724,7
725,4
726,0
727,0
728,2
729,8
730,9
731,5
732,7
733,8
734,1
735,6
736,6
737,4
738,2
739,7
740,4
741,6
742,5
743,9
744,0
745,9
746,6
747,9
748,1
749,9
750,7
751,3
752,2
753,0
754,5
755,0
756,8
757,0
758,1
759,0
760,0
761,8
762,9
763,7
764,2
765,7
766,9
767,2
768,1
769,0
770,7
771,3
