,training
0,9
1,3
2,3
3,3
4,9
5,7
6,8
7,5
8,9
9,5
10,3
11,9
12,3
13,4
14,9
15,5
16,2
17,2
18,2
19,2
20,4
21,4
22,2
23,7
24,3
25,5
26,4
27,4
28,0
29,1
30,1
31,5
32,4
33,3
34,2
35,2
36,0
37,9
38,2
39,7
40,2
41,9
42,9
43,1
44,1
45,6
46,2
47,3
48,2
49,1
50,1
51,9
52,4
53,2
54,8
55,1
56,3
57,5
58,6
59,5
60,7
61,0
62,0
63,4
64,7
65,4
66,1
67,1
68,0
69,0
70,9
71,0
72,7
73,6
74,1
75,9
76,5
77,3
78,2
79,8
80,7
81,0
82,8
83,4
84,5
85,4
86,0
87,7
88,4
89,5
90,6
91,2
92,5
93,8
94,9
95,5
96,3
97,6
98,3
99,6
100,6
101,0
102,2
103,2
104,4
105,5
106,3
107,4
108,5
109,9
110,5
111,7
112,1
113,0
114,8
115,5
116,7
117,8
118,2
119,9
120,3
121,2
122,3
123,9
124,9
125,4
126,8
127,6
128,7
129,0
130,5
131,0
132,5
133,9
134,3
135,5
136,8
137,8
138,5
139,5
140,0
141,9
142,2
143,9
144,6
145,2
146,1
147,3
148,2
149,7
150,0
151,2
152,5
153,0
154,1
155,9
156,0
157,7
158,1
159,4
160,4
161,2
162,8
163,9
164,5
165,5
166,8
167,1
168,1
169,3
170,5
171,6
172,5
173,1
174,2
175,6
176,8
177,7
178,2
179,4
180,6
181,1
182,2
183,2
184,3
185,3
186,4
187,7
188,8
189,7
190,2
191,4
192,4
193,9
194,1
195,2
196,0
197,0
198,5
199,3
200,9
201,4
202,2
203,1
204,0
205,9
206,9
207,1
208,9
209,9
210,1
211,6
212,9
213,0
214,6
215,2
216,0
217,5
218,1
219,0
220,6
221,5
222,5
223,7
224,9
225,6
226,1
227,6
228,2
229,7
230,8
231,8
232,0
233,2
234,3
235,6
236,7
237,2
238,6
239,0
240,5
241,7
242,0
243,2
244,5
245,6
246,0
247,4
248,2
249,5
250,4
251,5
252,0
253,3
254,1
255,1
256,1
257,4
258,2
259,5
260,2
261,1
262,6
263,3
264,6
265,0
266,8
267,0
268,5
269,6
270,0
271,1
272,5
273,3
274,0
275,6
276,8
277,1
278,9
279,5
280,8
281,6
282,0
283,2
284,2
285,1
286,8
287,2
288,5
289,5
290,4
291,4
292,7
293,4
294,0
295,9
296,0
297,1
298,4
299,2
300,8
301,7
302,3
303,2
304,2
305,3
306,5
307,0
308,4
309,4
310,2
311,7
312,8
313,1
314,7
315,2
316,7
317,1
318,7
319,1
320,0
321,2
322,1
323,4
324,8
325,9
326,5
327,3
328,3
329,6
330,1
331,9
332,6
333,2
334,9
335,9
336,4
337,6
338,1
339,1
340,0
341,3
342,3
343,5
344,1
345,2
346,0
347,0
348,3
349,9
350,7
351,2
352,6
353,4
354,6
355,2
356,4
357,3
358,6
359,8
360,0
361,6
362,3
363,2
364,7
365,2
366,8
367,2
368,4
369,2
370,7
371,0
372,4
373,3
374,5
375,8
376,5
377,3
378,4
379,1
380,3
381,0
382,1
383,7
384,7
385,6
386,0
387,3
388,4
389,0
390,9
391,6
392,7
393,2
394,1
395,1
396,9
397,9
398,3
399,8
400,4
401,1
402,0
403,4
404,3
405,8
406,0
407,2
408,0
409,3
410,3
411,9
412,2
413,7
414,1
415,5
416,6
417,8
418,4
419,8
420,2
421,0
422,7
423,8
424,5
425,4
426,3
427,0
428,8
429,6
430,7
431,9
432,2
433,1
434,9
435,1
436,8
437,5
438,4
439,9
440,4
441,8
442,4
443,5
444,0
445,1
446,3
447,6
448,8
449,2
450,5
451,9
452,6
453,8
454,7
455,7
456,5
457,6
458,3
459,9
460,1
461,3
462,5
463,3
464,7
465,4
466,5
467,3
468,0
469,3
470,5
471,8
472,7
473,3
474,4
475,3
476,3
477,3
478,9
479,0
480,4
481,6
482,9
483,0
484,7
485,8
486,4
487,5
488,6
489,4
490,3
491,1
492,7
493,2
494,7
495,0
496,1
497,7
498,4
499,2
500,9
501,9
502,9
503,1
504,0
505,9
506,0
507,8
508,5
509,0
510,8
511,1
512,7
513,0
514,1
515,4
516,0
517,0
518,2
519,9
520,4
521,8
522,8
523,2
524,6
525,2
526,5
527,1
528,2
