,training
0,8
1,9
2,6
3,9
4,3
5,3
6,6
7,0
8,9
9,1
10,4
11,8
12,5
13,1
14,0
15,7
16,6
17,6
18,0
19,0
20,7
21,6
22,9
23,3
24,1
25,6
26,6
27,2
28,8
29,2
30,5
31,4
32,4
33,1
34,3
35,6
36,5
37,9
38,0
39,9
40,3
41,8
42,4
43,6
44,7
45,0
46,3
47,6
48,8
49,0
50,3
51,6
52,3
53,8
54,4
55,2
56,8
57,2
58,8
59,2
60,4
61,3
62,6
63,6
64,2
65,2
66,8
67,0
68,6
69,2
70,4
71,4
72,0
73,6
74,9
75,2
76,0
77,6
78,3
79,4
80,6
81,1
82,7
83,2
84,0
85,9
86,7
87,0
88,8
89,0
90,4
91,5
92,9
93,2
94,2
95,7
96,6
97,9
98,2
99,1
100,7
101,9
102,2
103,0
104,2
105,7
106,8
107,2
108,6
109,5
110,1
111,9
112,2
113,7
114,0
115,3
116,9
117,6
118,7
119,7
120,7
121,2
122,7
123,7
124,9
125,0
126,0
127,2
128,7
129,8
130,2
131,4
132,8
133,1
134,9
135,7
136,1
137,8
138,5
139,5
140,5
141,7
142,9
143,2
144,0
145,7
146,1
147,2
148,1
149,8
150,8
151,0
152,1
153,4
154,7
155,4
156,1
157,7
158,9
159,2
160,1
161,8
162,0
163,8
164,5
165,1
166,4
167,8
168,0
169,4
170,6
171,4
172,5
173,1
174,6
175,0
176,6
177,3
178,3
179,9
180,5
181,6
182,5
183,6
184,7
185,5
186,2
187,8
188,6
189,1
190,3
191,9
192,0
193,2
194,0
195,9
196,5
197,9
198,0
199,9
200,1
201,5
202,5
203,6
204,1
205,6
206,8
207,8
208,0
209,2
210,6
211,0
212,3
213,8
214,4
215,1
216,3
217,8
218,6
219,2
220,3
221,0
222,6
223,5
224,6
225,3
226,8
227,7
228,4
229,7
230,0
231,1
232,1
233,4
234,3
235,3
236,1
237,4
238,8
239,7
240,9
241,0
242,9
243,7
244,6
245,0
246,4
247,4
248,7
249,2
250,7
251,8
252,8
253,7
254,4
255,8
256,0
257,5
258,6
259,7
260,7
261,1
262,0
263,6
264,8
265,4
266,8
267,1
268,1
269,2
270,4
271,7
272,9
273,3
274,3
275,5
276,0
277,7
278,0
279,5
280,7
281,0
282,6
283,5
284,1
285,6
286,0
287,7
288,3
289,6
290,0
291,0
292,5
293,3
294,9
295,3
296,8
297,0
298,8
299,4
300,2
301,3
302,6
303,1
304,3
305,3
306,1
307,2
308,4
309,2
310,1
311,3
312,5
313,4
314,8
315,0
316,0
317,4
318,9
319,3
320,2
321,5
322,0
323,6
324,5
325,3
326,1
327,1
328,9
329,6
330,5
331,7
332,2
333,0
334,5
335,2
336,2
337,4
338,7
339,3
340,2
341,3
342,5
343,5
344,7
345,2
346,1
347,2
348,5
349,8
350,2
351,0
352,5
353,7
354,2
355,6
356,5
357,1
358,9
359,9
360,7
361,8
362,0
363,3
364,2
365,0
366,4
367,8
368,5
369,0
370,9
371,8
372,6
373,6
374,5
375,8
376,6
377,8
378,7
379,8
380,7
381,0
382,4
383,2
384,5
385,2
386,5
387,6
388,0
389,8
390,3
391,2
392,6
393,6
394,8
395,7
396,0
397,2
398,8
399,2
400,8
401,2
402,6
403,0
404,9
405,2
406,5
407,7
408,3
409,8
410,5
411,1
412,0
413,8
414,1
415,9
416,7
417,8
418,3
419,4
420,2
421,4
422,6
423,8
424,3
425,2
426,4
427,4
428,7
429,0
430,5
431,4
432,7
433,8
434,1
435,9
436,9
437,6
438,0
439,3
440,0
441,0
442,0
443,3
444,6
445,6
446,8
447,8
448,1
449,0
450,3
451,3
452,6
453,6
454,8
455,1
456,7
457,9
458,7
459,8
460,7
461,5
462,0
463,3
464,1
465,4
466,8
467,3
468,8
469,5
470,3
471,7
472,2
473,6
474,4
475,0
476,1
477,1
478,0
479,7
480,6
481,7
482,8
483,6
484,8
485,8
486,0
487,6
488,1
489,9
490,1
491,7
492,1
493,3
494,9
495,1
496,2
497,1
498,9
499,2
500,0
501,7
502,8
503,0
504,8
505,6
506,6
507,4
508,9
509,4
510,2
511,8
512,2
513,0
514,3
515,3
516,6
517,2
518,9
519,6
520,7
521,4
522,9
523,6
524,5
525,2
526,2
527,0
528,0
529,9
530,0
531,7
532,1
533,9
534,9
535,3
536,0
537,6
538,3
539,0
540,3
541,3
542,2
543,2
544,9
545,0
546,7
547,6
548,4
549,0
550,9
551,4
552,8
553,9
554,8
555,8
556,9
557,7
558,5
559,2
560,2
561,7
562,0
563,8
564,6
565,2
566,0
567,0
568,6
569,8
570,1
571,4
572,6
573,1
574,1
575,5
576,7
577,0
578,2
579,6
580,3
581,2
582,7
583,8
584,8
