,training
0,7
1,1
2,1
3,4
4,4
5,2
6,3
7,1
8,1
9,6
10,7
11,7
12,2
13,2
14,6
15,1
16,2
17,9
18,2
19,7
20,5
21,7
22,2
23,6
24,4
25,0
26,8
27,3
28,4
29,6
30,9
31,1
32,0
33,9
34,3
35,0
36,7
37,6
38,7
39,5
40,8
41,1
42,9
43,0
44,5
45,1
46,8
47,8
48,2
49,0
50,9
51,5
52,9
53,9
54,2
55,2
56,5
57,5
58,7
59,7
60,2
61,1
62,3
63,9
64,4
65,8
66,9
67,4
68,9
69,7
70,8
71,6
72,7
73,3
74,9
75,9
76,6
77,3
78,8
79,1
80,5
81,3
82,5
83,4
84,0
85,0
86,0
87,1
88,8
89,6
90,7
91,4
92,5
93,2
94,5
95,2
96,8
97,5
98,2
99,4
100,4
101,6
102,0
103,9
104,3
105,8
106,2
107,0
108,7
109,3
110,0
111,2
112,8
113,2
114,2
115,3
116,9
117,1
118,2
119,7
120,9
121,8
122,6
123,6
124,3
125,3
126,2
127,5
128,4
129,4
130,5
131,9
132,5
133,9
134,2
135,5
136,9
137,9
138,2
139,1
140,5
141,4
142,7
143,8
144,2
145,5
146,2
147,5
148,7
149,7
150,6
151,7
152,7
153,6
154,8
155,8
156,1
157,6
158,9
159,8
160,0
161,8
162,3
163,7
164,2
165,9
166,4
167,4
168,7
169,1
170,0
171,5
172,6
173,7
174,3
175,0
176,6
177,2
178,3
179,7
180,8
181,8
182,6
183,8
184,2
185,1
186,9
187,8
188,0
189,6
190,0
191,2
192,6
193,8
194,3
195,2
196,3
197,2
198,1
199,2
200,5
201,8
202,0
203,1
204,8
205,3
206,6
207,5
208,7
209,3
210,0
211,9
212,0
213,2
214,2
215,5
216,9
217,5
218,4
219,1
220,6
221,4
222,4
223,0
224,7
225,4
226,4
227,0
228,3
229,3
230,2
231,7
232,6
233,6
234,3
235,1
236,2
237,6
238,7
239,1
240,4
241,2
242,3
243,6
244,9
245,1
246,0
247,0
248,6
249,5
250,3
251,3
252,6
253,7
254,5
255,0
256,6
257,2
258,1
259,4
260,3
261,4
262,6
263,2
264,1
265,1
266,7
267,3
268,1
269,3
270,9
271,2
272,5
273,2
274,2
275,7
276,6
277,0
278,0
279,0
280,1
281,3
282,1
283,8
284,3
285,3
286,6
287,8
288,2
289,4
290,5
291,7
292,7
293,7
294,7
295,4
296,2
297,7
298,7
299,8
300,5
301,3
302,5
303,6
304,5
305,7
306,3
307,5
308,9
309,5
310,1
311,7
312,4
313,6
314,3
315,1
316,5
317,6
318,9
319,0
320,9
321,6
322,1
323,8
324,1
325,5
326,0
327,7
328,7
329,3
330,5
331,6
332,7
333,2
334,6
335,9
336,2
337,0
338,8
339,4
340,1
341,7
342,2
343,3
344,9
345,3
346,4
347,2
348,7
349,5
350,2
351,9
352,5
353,5
354,3
355,8
356,4
357,1
358,6
359,4
360,6
361,7
362,9
363,3
364,0
365,7
366,1
367,4
368,5
369,0
370,6
371,3
372,0
373,9
374,4
375,6
376,8
377,0
378,8
379,5
380,9
381,6
382,0
383,6
384,1
385,8
386,0
387,7
388,4
389,0
390,7
391,3
392,9
393,9
394,7
395,7
396,0
397,7
398,3
399,2
400,4
401,1
402,6
403,4
404,1
405,9
406,0
407,6
408,0
409,7
410,3
411,7
412,3
413,6
414,7
415,7
416,8
417,1
418,4
419,1
420,2
421,2
422,4
423,8
424,1
425,7
426,6
427,6
428,3
429,7
430,0
431,3
432,9
433,6
434,8
435,2
436,9
437,5
438,8
439,9
440,4
441,5
442,6
443,8
444,6
445,8
446,4
447,2
448,2
449,9
450,9
451,0
452,4
453,1
454,1
455,5
456,3
457,0
458,0
459,7
460,5
461,1
462,5
463,4
464,8
465,6
466,3
467,3
468,2
469,7
470,4
471,5
472,8
473,2
474,8
475,8
476,3
477,2
478,0
479,2
480,2
481,1
482,3
483,5
484,2
485,3
486,1
487,2
488,0
489,6
490,6
491,5
492,7
493,5
494,3
495,1
496,7
497,6
498,7
499,3
500,0
501,2
502,2
503,4
504,2
505,6
506,0
507,3
508,1
509,3
510,3
511,6
512,2
513,7
514,8
515,3
516,6
517,8
518,8
519,5
520,1
521,2
522,5
523,6
524,3
525,1
526,5
527,2
528,1
529,4
530,6
531,9
532,5
533,1
534,6
535,9
536,8
537,7
538,5
539,9
540,9
541,4
542,0
543,6
544,9
545,3
546,4
547,0
548,6
549,8
550,0
551,2
552,2
553,3
554,3
555,2
556,2
557,5
558,2
559,5
560,2
561,9
562,3
563,3
564,0
565,9
566,1
567,8
568,2
569,5
570,2
571,4
572,0
573,2
574,9
575,0
576,8
577,4
578,9
579,6
580,8
581,8
582,8
583,3
584,5
585,4
586,3
587,0
588,6
589,4
590,9
591,5
592,9
593,2
594,3
595,4
596,6
597,2
598,5
599,0
600,5
601,4
602,4
603,6
604,8
605,3
606,2
607,3
608,0
609,3
610,4
611,3
612,9
613,4
614,7
615,5
616,1
617,0
618,0
619,2
620,1
621,6
622,1
623,1
624,4
625,4
626,5
627,6
628,5
629,1
630,8
631,3
632,0
633,7
634,7
635,6
636,2
637,5
638,8
639,5
640,3
641,8
642,0
643,9
644,0
645,7
646,9
647,5
648,9
649,3
650,4
651,3
652,6
653,4
654,8
655,6
656,6
657,9
658,2
659,3
660,6
661,4
662,7
663,1
664,4
665,7
666,3
667,5
668,8
669,4
670,3
671,2
672,3
673,0
674,2
675,1
676,6
677,2
678,8
679,0
680,4
681,8
682,9
683,0
684,2
685,3
686,6
687,7
688,9
689,0
690,3
691,8
692,0
693,3
694,9
695,4
696,6
697,5
698,4
699,0
700,8
701,0
702,3
703,4
704,1
705,9
706,4
707,8
708,1
709,1
710,0
711,5
712,2
713,2
714,8
715,2
716,8
717,8
718,1
719,8
720,5
721,7
722,3
723,5
724,1
725,0
726,6
727,7
728,6
729,8
730,7
731,7
732,2
733,1
734,0
735,3
736,3
737,4
738,8
739,8
740,8
741,2
742,7
743,9
744,4
745,6
746,2
747,2
748,4
749,2
750,8
751,1
752,7
753,6
754,9
755,3
756,3
757,6
758,5
759,4
760,7
761,8
762,6
763,8
764,9
765,3
766,9
767,2
768,2
769,1
770,3
771,2
772,9
773,7
774,7
775,3
776,5
777,9
778,3
779,4
780,9
781,9
782,8
783,6
784,4
785,0
786,4
787,2
788,5
789,1
790,1
791,5
792,0
793,6
794,3
795,5
796,7
797,1
798,0
799,2
800,7
801,6
802,3
803,6
804,7
805,6
806,9
807,1
808,8
809,0
810,3
811,3
812,5
813,0
814,8
815,2
816,2
817,3
818,6
819,7
820,6
821,1
822,9
823,0
824,1
825,2
826,0
827,9
828,3
829,5
830,1
831,1
832,8
833,8
834,2
835,9
836,4
837,1
838,0
839,8
840,1
841,2
842,1
843,9
844,8
845,5
846,2
847,8
848,6
849,5
850,1
851,3
852,4
853,2
854,5
855,7
856,9
857,2
858,6
859,3
860,9
861,1
862,9
863,6
864,2
865,4
866,5
867,1
868,8
869,3
870,5
871,7
872,0
873,8
874,8
875,5
876,7
877,1
878,9
879,5
880,8
881,3
882,9
883,6
884,3
885,1
886,5
887,8
888,1
889,6
890,7
891,8
892,2
893,1
894,2
895,0
896,7
897,1
898,6
899,6
900,0
901,1
902,2
903,0
904,4
905,8
906,6
907,1
908,0
909,9
910,0
911,9
912,8
913,0
914,2
915,7
916,0
917,3
918,2
919,8
920,0
921,1
922,1
923,4
924,6
925,1
926,7
927,4
928,0
929,1
930,0
931,9
932,6
933,8
934,9
935,5
936,5
937,7
938,9
939,4
940,0
941,4
942,6
943,8
944,0
945,4
946,4
947,1
948,3
949,6
950,3
951,3
952,2
953,5
954,9
955,5
956,6
957,8
958,3
959,9
960,8
961,3
962,7
963,1
964,8
965,4
966,4
967,6
968,2
969,4
970,9
971,7
972,6
973,2
974,4
975,1
976,0
977,8
978,0
979,7
980,5
981,1
982,2
983,4
984,9
985,9
986,4
987,4
988,9
989,1
990,7
991,0
992,2
993,0
994,3
995,3
996,5
997,2
998,4
999,7
1000,2
1001,4
1002,7
1003,9
1004,0
1005,4
1006,6
1007,7
1008,1
1009,2
1010,6
1011,5
1012,3
1013,6
1014,7
1015,6
1016,4
1017,8
1018,1
1019,7
1020,0
1021,4
1022,0
1023,4
1024,6
1025,8
1026,8
1027,8
1028,9
1029,0
1030,7
1031,0
1032,4
1033,0
1034,3
1035,6
1036,6
1037,3
1038,7
1039,6
1040,6
1041,7
1042,2
1043,6
1044,3
1045,3
1046,4
1047,0
1048,5
1049,2
1050,8
1051,9
1052,2
1053,6
1054,3
1055,6
1056,5
1057,8
1058,5
1059,3
1060,3
1061,9
1062,2
1063,9
1064,5
1065,6
1066,6
1067,6
1068,8
1069,1
1070,5
1071,0
1072,2
1073,0
1074,7
1075,4
1076,6
1077,9
1078,9
1079,6
1080,2
1081,2
1082,0
1083,9
1084,2
1085,1
1086,9
1087,2
1088,2
1089,9
1090,7
1091,0
1092,2
1093,2
1094,6
1095,4
1096,4
1097,9
1098,4
1099,4
1100,4
1101,3
1102,0
1103,2
1104,9
1105,9
1106,3
1107,1
1108,3
1109,6
1110,0
1111,2
1112,1
1113,8
1114,7
1115,3
1116,2
1117,7
1118,6
1119,5
1120,5
1121,5
1122,2
1123,1
1124,7
1125,7
1126,0
1127,3
1128,5
1129,4
1130,2
1131,9
1132,8
1133,2
1134,0
1135,9
1136,7
1137,2
1138,7
1139,7
1140,9
1141,2
1142,0
1143,6
1144,3
1145,6
1146,2
1147,8
1148,1
1149,6
1150,9
1151,8
1152,9
1153,8
1154,4
1155,0
1156,8
1157,3
1158,5
1159,3
1160,3
1161,1
1162,4
1163,9
1164,0
1165,0
1166,9
1167,3
1168,7
1169,6
1170,6
1171,6
1172,6
1173,7
1174,8
1175,4
1176,4
1177,0
1178,5
1179,6
1180,5
1181,3
1182,9
1183,9
1184,3
1185,8
1186,8
1187,9
1188,2
1189,3
1190,0
1191,3
1192,6
1193,5
1194,8
1195,6
1196,6
1197,4
1198,0
1199,0
1200,6
1201,2
1202,3
1203,0
1204,5
1205,6
1206,6
1207,9
1208,8
1209,1
1210,9
1211,0
1212,4
1213,2
1214,3
1215,7
1216,0
1217,4
1218,1
1219,2
1220,8
1221,7
1222,3
1223,6
1224,7
1225,2
1226,8
1227,1
1228,3
1229,9
1230,0
1231,5
1232,4
1233,4
1234,9
1235,4
1236,1
1237,8
1238,4
1239,0
1240,2
1241,3
1242,2
1243,3
1244,1
1245,5
1246,7
1247,6
1248,5
1249,4
1250,1
1251,0
1252,9
1253,9
1254,7
1255,4
1256,5
1257,1
1258,7
1259,9
1260,5
1261,5
1262,4
1263,9
1264,1
1265,9
1266,9
1267,9
1268,4
1269,0
1270,9
1271,4
1272,4
1273,8
1274,5
1275,4
1276,1
1277,9
1278,7
1279,2
1280,9
1281,5
1282,1
1283,3
1284,3
1285,0
1286,9
1287,9
1288,4
1289,0
1290,1
1291,5
1292,9
1293,3
1294,8
1295,7
1296,6
1297,4
1298,8
1299,8
1300,1
1301,7
1302,1
1303,5
1304,6
1305,2
1306,2
1307,6
1308,8
1309,0
1310,2
1311,9
1312,2
1313,6
1314,2
1315,8
1316,5
1317,7
1318,4
1319,6
1320,6
1321,7
1322,0
1323,0
1324,5
1325,8
1326,6
1327,3
1328,5
1329,4
1330,9
1331,8
1332,8
1333,9
1334,9
1335,7
1336,0
1337,0
1338,7
1339,7
1340,3
1341,8
1342,6
1343,6
1344,2
1345,8
1346,0
1347,9
1348,7
1349,5
1350,3
1351,0
1352,6
1353,9
1354,1
1355,9
1356,1
1357,6
1358,9
1359,0
1360,0
1361,7
1362,4
1363,6
1364,3
1365,9
1366,6
1367,6
1368,3
1369,5
1370,0
1371,3
1372,1
1373,9
1374,5
1375,7
1376,1
1377,9
1378,5
1379,4
1380,0
1381,9
1382,3
1383,4
1384,0
1385,9
1386,9
1387,9
1388,8
1389,8
1390,2
1391,7
1392,6
1393,0
1394,4
1395,7
1396,6
1397,6
1398,0
1399,7
1400,1
1401,9
1402,6
1403,1
1404,1
1405,5
1406,2
1407,7
1408,0
1409,4
1410,2
1411,3
1412,7
1413,9
1414,0
1415,6
1416,0
1417,1
1418,2
1419,9
1420,9
1421,9
1422,8
1423,4
1424,8
1425,2
1426,8
1427,1
1428,2
1429,3
1430,2
1431,9
1432,8
1433,4
1434,1
1435,9
1436,5
1437,6
1438,9
1439,7
1440,2
1441,6
1442,2
1443,7
1444,5
1445,8
1446,0
1447,7
1448,4
1449,2
1450,8
1451,6
1452,3
1453,2
1454,5
1455,5
1456,8
1457,8
1458,3
1459,6
1460,0
1461,7
1462,7
1463,0
1464,4
1465,6
1466,0
1467,8
1468,9
1469,3
1470,4
1471,9
1472,5
1473,2
1474,2
1475,7
1476,5
1477,6
1478,3
1479,5
1480,4
1481,1
1482,0
1483,8
1484,2
1485,8
1486,0
1487,5
1488,1
1489,2
1490,2
1491,8
1492,6
1493,6
1494,3
1495,9
1496,6
1497,8
1498,7
1499,6
1500,2
1501,1
1502,3
1503,6
1504,1
1505,7
1506,4
1507,4
1508,4
1509,9
1510,2
1511,2
1512,3
1513,0
1514,6
1515,1
1516,0
1517,2
1518,3
1519,0
1520,6
1521,7
1522,2
1523,2
1524,8
1525,1
1526,1
1527,4
1528,4
1529,2
1530,4
1531,3
1532,4
1533,2
1534,1
1535,4
1536,3
1537,1
1538,5
1539,2
1540,4
1541,3
1542,1
1543,2
1544,0
1545,6
1546,2
1547,9
1548,1
1549,2
1550,2
1551,4
1552,7
1553,9
1554,5
1555,2
1556,1
1557,4
1558,6
1559,4
1560,8
1561,5
1562,5
1563,7
1564,1
1565,3
1566,9
1567,0
1568,9
1569,8
1570,0
1571,5
1572,5
1573,4
1574,9
1575,6
1576,4
1577,7
1578,5
1579,9
1580,0
1581,5
1582,8
1583,6
1584,9
1585,9
1586,8
1587,5
1588,9
1589,9
1590,1
1591,8
1592,5
1593,4
1594,4
1595,1
1596,4
1597,7
1598,6
1599,2
1600,0
1601,0
1602,6
1603,4
1604,2
1605,4
1606,2
1607,2
1608,9
1609,6
1610,0
1611,1
1612,0
1613,6
1614,4
1615,0
1616,8
1617,0
1618,0
1619,5
1620,8
1621,7
1622,9
1623,6
1624,2
1625,8
1626,3
1627,4
1628,9
1629,5
1630,3
1631,3
1632,4
1633,8
1634,7
1635,0
1636,1
1637,2
1638,9
1639,5
1640,6
1641,7
1642,3
1643,6
1644,2
1645,4
1646,4
1647,4
1648,3
1649,6
1650,7
1651,8
1652,9
1653,0
1654,4
1655,7
1656,5
1657,2
1658,0
1659,2
1660,0
1661,2
1662,2
1663,0
1664,0
1665,9
1666,8
1667,3
1668,4
1669,2
1670,7
1671,4
1672,3
1673,9
1674,0
1675,0
1676,3
1677,0
1678,7
1679,5
1680,4
1681,6
1682,7
1683,3
1684,1
1685,9
1686,8
1687,8
1688,6
1689,4
1690,4
1691,3
1692,6
1693,7
1694,0
1695,6
1696,9
1697,8
1698,1
1699,7
1700,4
1701,2
1702,5
1703,3
1704,3
1705,3
1706,2
1707,6
1708,5
1709,8
1710,9
1711,0
1712,4
1713,0
1714,9
1715,8
1716,1
1717,6
1718,2
1719,3
1720,8
1721,2
1722,2
1723,3
1724,3
1725,9
1726,3
1727,7
1728,3
1729,7
1730,2
1731,8
1732,2
1733,6
1734,1
1735,3
1736,4
1737,5
1738,1
1739,8
1740,8
1741,2
1742,5
1743,7
1744,2
1745,6
1746,3
1747,1
1748,3
1749,3
1750,1
1751,4
1752,6
1753,3
1754,9
1755,5
1756,9
1757,2
1758,2
1759,0
1760,4
1761,9
1762,4
1763,7
1764,5
1765,1
1766,7
1767,8
1768,1
1769,5
1770,5
1771,1
1772,6
1773,8
1774,8
1775,7
1776,7
1777,0
1778,8
1779,8
1780,4
1781,4
1782,9
1783,6
1784,0
1785,4
1786,2
1787,3
1788,2
1789,9
1790,7
1791,5
1792,6
1793,0
1794,0
1795,1
1796,2
1797,0
1798,5
1799,9
1800,9
1801,4
1802,3
1803,7
1804,4
1805,3
1806,2
1807,4
1808,5
1809,1
1810,2
1811,7
1812,1
1813,5
1814,7
1815,8
1816,7
1817,5
1818,2
1819,4
1820,4
1821,0
1822,9
1823,1
1824,8
1825,7
1826,7
1827,5
1828,0
1829,4
1830,4
1831,7
1832,9
1833,3
1834,7
1835,0
1836,3
1837,7
1838,2
1839,8
1840,4
1841,0
1842,1
1843,1
1844,5
1845,8
1846,3
1847,0
1848,3
1849,4
1850,8
1851,4
1852,2
1853,5
1854,7
1855,0
1856,1
1857,5
1858,8
1859,0
1860,2
1861,7
1862,7
1863,1
1864,2
1865,8
1866,7
1867,6
1868,5
1869,9
1870,8
1871,5
1872,2
1873,0
1874,7
1875,7
1876,0
1877,8
1878,8
1879,9
1880,0
1881,6
1882,6
1883,0
1884,2
1885,9
1886,6
1887,7
1888,0
1889,0
1890,4
1891,7
1892,2
1893,4
1894,5
1895,4
