,training
0,1
1,3
2,9
3,5
4,2
5,7
6,1
7,3
8,9
9,3
10,6
11,1
12,2
13,8
14,7
15,1
16,0
17,8
18,4
19,2
20,4
21,0
22,7
23,8
24,0
25,5
26,0
27,7
28,6
29,8
30,3
31,6
32,5
33,6
34,1
35,1
36,5
37,3
38,1
39,8
40,5
41,2
42,9
43,0
44,9
45,6
46,6
47,8
48,4
49,7
50,5
51,5
52,3
53,6
54,0
55,3
56,2
57,1
58,1
59,2
60,1
61,2
62,9
63,7
64,0
65,0
66,7
67,9
68,2
69,9
70,8
71,9
72,7
73,3
74,0
75,5
76,6
77,0
78,1
79,2
80,0
81,5
82,7
83,3
84,0
85,2
86,7
87,4
88,5
89,0
90,8
91,5
92,6
93,5
94,7
95,0
96,1
97,8
98,3
99,2
100,4
101,2
102,9
103,4
104,6
105,5
106,1
107,1
108,7
109,3
110,5
111,4
112,8
113,6
114,2
115,3
116,1
117,4
118,4
119,8
120,3
121,5
122,8
123,3
124,0
125,8
126,0
127,0
128,6
129,9
130,8
131,8
132,6
133,1
134,4
135,8
136,7
137,2
138,7
139,7
140,3
141,5
142,7
143,2
144,8
145,4
146,8
147,8
148,6
149,7
150,5
151,6
152,9
153,6
154,7
155,9
156,4
157,3
158,5
159,0
160,4
161,8
162,7
163,4
164,6
165,2
166,1
167,4
168,9
169,1
170,7
171,3
172,4
173,3
174,0
175,5
176,0
177,6
178,8
179,4
180,4
181,3
182,9
183,9
184,0
185,5
186,5
187,5
188,3
189,3
190,0
191,2
192,4
193,6
194,4
195,5
196,5
197,4
198,5
199,3
200,8
201,9
202,2
203,2
204,5
205,7
206,9
207,1
208,5
209,3
210,6
211,4
212,8
213,2
214,5
215,8
216,9
217,6
218,2
219,8
220,8
221,9
222,1
223,3
224,9
225,0
226,2
227,5
228,0
229,9
230,4
231,2
232,4
233,6
234,9
235,4
236,9
237,4
238,6
239,9
240,9
241,0
242,4
243,3
244,6
245,2
246,8
247,9
248,7
249,6
250,2
251,9
252,2
253,1
254,0
255,3
256,5
257,8
258,7
259,0
260,0
261,9
262,8
263,8
264,8
265,2
266,4
267,8
268,0
269,7
270,7
271,5
272,9
273,4
274,2
275,7
276,8
277,6
278,9
279,7
280,3
281,7
282,9
283,6
284,9
285,3
286,9
287,6
288,4
289,4
290,3
291,9
292,0
293,2
294,6
295,4
296,3
297,6
298,4
299,3
300,6
301,7
302,8
303,8
304,7
305,7
306,2
307,6
308,0
309,5
310,7
311,2
312,4
313,7
314,8
315,5
316,6
317,0
318,5
319,0
320,2
321,4
322,5
323,0
324,9
325,1
326,0
327,3
328,5
329,6
330,0
331,2
332,8
333,6
334,9
335,3
336,2
337,6
338,0
339,8
340,8
341,3
342,3
343,7
344,5
345,0
346,7
347,1
348,7
349,8
350,6
351,5
352,9
353,9
354,9
355,9
356,1
357,4
358,9
359,3
360,0
361,6
362,8
363,1
364,7
365,9
366,4
367,8
368,0
369,1
370,7
371,2
372,0
373,0
374,4
375,4
376,9
377,2
378,5
379,8
380,2
381,9
382,3
383,0
384,4
385,2
386,5
387,3
388,9
389,6
390,0
391,3
392,8
393,8
394,0
395,6
396,2
397,5
398,3
399,2
400,7
401,7
402,1
403,9
404,4
405,9
406,4
407,4
408,4
409,1
410,8
411,9
412,3
413,2
414,9
415,0
416,1
417,2
418,6
419,7
420,2
421,9
422,4
423,4
424,3
425,4
426,7
427,3
428,2
429,6
430,8
431,5
432,9
433,5
434,3
435,0
436,9
437,3
438,7
439,9
440,3
441,7
442,1
443,0
444,6
445,9
446,7
447,7
448,2
449,7
450,4
451,2
452,9
453,6
454,5
455,5
456,3
457,8
458,2
459,8
460,2
461,8
462,0
463,2
464,4
465,0
466,6
467,6
468,9
469,3
470,6
471,1
472,5
473,2
474,6
475,7
476,1
477,8
478,7
479,5
480,3
481,0
482,9
483,1
484,1
485,5
486,3
487,0
488,7
489,8
490,8
491,8
492,1
493,3
494,7
495,4
496,7
497,9
498,8
499,8
500,2
501,3
502,1
503,2
504,6
505,0
506,0
507,6
508,6
509,2
510,2
511,0
512,5
513,0
514,4
515,6
516,2
517,9
518,9
519,1
520,6
521,3
522,6
523,1
524,5
525,9
526,7
527,8
528,2
529,5
530,8
531,4
532,4
533,1
534,0
535,8
536,7
537,5
538,8
539,2
540,2
541,4
542,6
543,0
544,5
545,3
546,2
547,4
548,6
549,5
550,4
551,1
552,9
553,8
554,1
555,0
556,0
557,8
558,9
559,3
560,2
561,3
562,5
563,3
564,1
565,0
566,7
567,6
568,6
569,7
570,6
571,4
572,8
573,3
574,1
575,5
576,4
577,5
578,1
579,4
580,0
581,2
582,2
583,7
584,8
585,4
586,7
587,0
588,4
589,7
590,6
591,8
592,0
593,4
594,0
595,0
596,5
597,4
598,6
599,4
600,2
601,9
602,8
603,3
604,9
605,3
606,6
607,0
608,4
609,6
610,1
611,1
612,8
613,6
614,2
615,6
616,5
617,6
618,8
619,8
620,1
621,7
622,7
623,2
624,3
625,4
626,7
627,2
628,9
629,0
630,9
631,5
632,6
633,1
634,1
635,9
636,0
637,1
638,1
639,1
640,6
641,1
642,4
643,9
644,6
645,1
646,8
647,6
648,5
649,2
650,8
651,4
652,3
653,6
654,7
655,2
656,8
657,7
658,4
659,7
660,9
661,3
662,8
663,3
664,5
665,4
666,5
667,7
668,7
669,7
670,5
671,3
672,6
673,6
674,7
675,6
676,6
677,9
678,9
679,7
680,2
681,4
682,2
683,6
684,7
685,4
686,5
687,1
688,4
689,8
690,6
691,3
692,2
693,2
694,9
695,5
696,7
697,6
698,8
699,6
700,0
701,5
702,6
703,0
704,3
705,8
706,6
707,0
708,5
709,1
710,4
711,2
712,7
713,2
714,9
715,8
716,0
717,1
718,9
719,8
720,6
721,5
722,2
723,8
724,1
725,7
726,4
727,4
728,9
729,0
730,2
731,1
732,2
733,3
734,4
735,0
736,7
737,4
738,5
739,9
740,7
741,0
742,6
743,0
744,4
745,6
746,4
747,3
748,4
749,2
750,4
751,9
752,2
753,9
754,7
755,1
756,9
757,7
758,4
759,2
760,7
761,1
762,8
763,0
764,0
765,7
766,7
767,2
768,8
769,7
770,2
771,8
772,0
773,2
774,3
775,2
776,7
777,2
778,7
779,3
780,7
781,3
782,7
783,9
784,6
785,5
786,2
787,6
788,6
789,3
790,0
791,9
792,6
793,8
794,1
795,5
796,0
797,9
798,8
799,7
800,6
801,2
802,2
803,1
804,3
805,9
806,2
807,9
808,2
809,0
810,5
811,6
812,9
813,7
814,6
815,0
816,9
817,5
818,0
819,9
820,9
821,6
822,2
823,8
824,7
825,3
826,3
827,6
828,5
829,7
830,1
831,5
832,7
833,4
834,5
835,7
836,7
837,0
838,3
839,5
840,3
841,1
842,3
843,1
844,7
845,1
846,9
847,9
848,0
849,5
850,9
851,3
852,2
853,5
854,2
855,1
856,0
857,8
858,8
859,4
860,2
861,9
862,4
863,2
864,1
865,7
866,9
867,5
868,3
869,0
870,4
871,0
872,5
873,0
874,8
875,5
876,8
877,8
878,7
879,4
880,9
881,7
882,1
883,6
884,6
885,3
886,6
887,3
888,4
889,0
890,3
891,5
892,3
893,7
894,7
895,5
896,9
897,2
898,9
899,0
900,1
901,5
902,2
903,2
904,2
905,1
906,0
907,3
908,6
909,7
910,3
911,7
912,7
913,7
914,5
915,1
916,8
917,4
918,0
919,8
920,7
921,9
922,2
923,7
924,0
925,2
926,1
927,9
928,1
929,6
930,6
931,0
932,0
933,9
934,6
935,4
936,2
937,4
938,3
939,1
940,8
941,0
942,0
943,8
944,1
945,3
946,1
947,9
948,2
949,8
950,6
951,0
952,9
953,8
954,5
955,1
956,4
957,9
958,2
959,3
960,1
961,2
962,7
963,1
964,5
965,4
966,1
967,3
968,5
969,4
970,6
971,6
972,7
973,3
974,2
975,8
976,2
977,7
978,4
979,9
980,8
981,5
982,5
983,0
984,4
985,0
986,9
987,1
988,9
989,1
990,8
991,6
992,5
993,2
994,3
995,5
996,3
997,8
998,8
999,7
1000,1
1001,2
1002,2
1003,1
1004,6
1005,2
1006,4
1007,8
1008,8
1009,7
1010,6
1011,4
1012,5
1013,2
1014,7
1015,8
1016,1
1017,4
1018,4
1019,8
1020,3
1021,1
1022,7
1023,5
1024,4
1025,5
1026,7
1027,7
1028,6
1029,9
1030,0
1031,2
1032,7
1033,5
1034,6
1035,2
1036,6
1037,1
1038,9
1039,1
1040,6
1041,3
1042,9
1043,1
1044,6
1045,9
1046,5
1047,2
1048,6
1049,8
1050,8
1051,6
1052,0
1053,2
1054,3
1055,0
1056,5
1057,8
1058,8
1059,1
1060,6
1061,6
1062,3
1063,5
1064,9
1065,1
1066,3
1067,1
1068,0
1069,2
1070,5
1071,7
1072,1
1073,4
1074,6
1075,1
1076,1
1077,4
1078,1
1079,2
1080,9
1081,1
1082,0
1083,6
1084,9
1085,9
1086,3
1087,6
1088,5
1089,5
1090,4
1091,0
1092,8
1093,7
1094,6
1095,2
1096,2
1097,4
1098,7
1099,6
1100,5
1101,1
1102,3
1103,2
1104,8
1105,7
1106,1
1107,8
1108,3
1109,0
1110,4
1111,3
1112,3
1113,4
1114,5
1115,2
1116,2
1117,8
1118,3
1119,8
1120,7
1121,4
1122,4
1123,1
1124,0
1125,7
1126,0
1127,9
1128,0
1129,7
1130,1
1131,9
1132,2
1133,8
1134,5
1135,2
1136,4
1137,3
1138,3
1139,0
1140,8
1141,9
1142,0
1143,1
1144,1
1145,8
1146,6
1147,9
1148,8
1149,6
1150,8
1151,5
1152,3
1153,0
1154,4
1155,9
1156,8
1157,3
1158,4
1159,3
1160,6
1161,8
1162,1
1163,9
1164,5
1165,6
1166,6
1167,8
1168,6
1169,2
1170,5
1171,0
1172,9
1173,1
1174,8
1175,6
1176,0
1177,7
1178,9
1179,8
1180,2
1181,5
1182,0
1183,1
1184,3
1185,3
1186,4
1187,1
1188,4
1189,9
1190,8
1191,8
1192,5
1193,8
1194,5
1195,5
1196,8
1197,3
1198,7
1199,3
1200,8
1201,0
1202,8
1203,7
1204,3
1205,4
1206,9
1207,2
1208,8
1209,0
1210,8
1211,3
1212,7
1213,7
1214,0
1215,3
1216,5
1217,4
1218,5
1219,5
1220,7
1221,6
1222,1
1223,2
1224,1
1225,3
1226,0
1227,1
1228,4
1229,5
1230,6
1231,3
1232,5
1233,5
1234,0
1235,2
1236,9
1237,9
1238,3
1239,5
1240,2
1241,0
1242,9
1243,5
1244,1
1245,0
1246,8
1247,9
1248,6
1249,8
1250,3
1251,7
1252,9
1253,4
1254,5
1255,9
1256,8
1257,5
